"Title:","Arriving Flights from the Airline Performance - Arrivals Database"
"SubTitle:","Airline"
"Time:","01/01/2010 - 09/30/2023"
"Unit of Measure:","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#"
"Citation:","Bureau of Transportation Statistics, Bureau of Transportation Statistics  (2024-02-12). Airline Performance - Arrivals: Arriving Flights | AirTran Airways Corporation: FL, Alaska Airlines Inc.: AS, Allegiant Air: G4, American Airlines Inc.: AA, Comair Inc.: OH (1), Continental Air Lines Inc.: CO, Delta Air Lines Inc.: DL, Endeavor Air Inc.: 9E, Envoy Air: MQ, ExpressJet Airlines Inc.: XE, ExpressJet Airlines LLC: EV, Frontier Airlines Inc.: F9, Hawaiian Airlines Inc.: HA, Horizon Air: QX, JetBlue Airways: B6, Mesa Airlines Inc.: YV, PSA Airlines Inc.: OH, Republic Airline: YX, SkyWest Airlines Inc.: OO, Southwest Airlines Co.: WN, Spirit Air Lines: NK, United Air Lines Inc.: UA, US Airways Inc.: US (Merged with America West 9/05, Virgin America: VX, 01/01/2010 - 09/30/2023. Sage Data. Sage Publishing Ltd. (Dataset). Dataset-ID:  007-001-002 doi:https://doi.org/10.6068/DP18D9FA76D170"
"ColumnCount:",25
"RowCount:",4991

"Time","AirTran Airways Corporation: FL, #","Alaska Airlines Inc.: AS, #","Allegiant Air: G4, #","American Airlines Inc.: AA, #","Comair Inc.: OH (1), #","Continental Air Lines Inc.: CO, #","Delta Air Lines Inc.: DL, #","Endeavor Air Inc.: 9E, #","Envoy Air: MQ, #","ExpressJet Airlines Inc.: XE, #","ExpressJet Airlines LLC: EV, #","Frontier Airlines Inc.: F9, #","Hawaiian Airlines Inc.: HA, #","Horizon Air: QX, #","JetBlue Airways: B6, #","Mesa Airlines Inc.: YV, #","PSA Airlines Inc.: OH, #","Republic Airline: YX, #","SkyWest Airlines Inc.: OO, #","Southwest Airlines Co.: WN, #","Spirit Air Lines: NK, #","United Air Lines Inc.: UA, #","US Airways Inc.: US (Merged with America West 9/05, #","Virgin America: VX, #"
"01/01/2010",645,314,,1450,268,688,1646,522,1118,794,510,217,204,,598,602,,,1443,2282,,901,1065,
"01/02/2010",663,341,,1367,376,654,1756,725,1016,852,800,185,203,,595,641,,,1564,2810,,945,974,
"01/03/2010",694,351,,1510,408,735,1882,724,1192,988,860,204,196,,610,675,,,1600,3146,,967,1081,
"01/04/2010",712,364,,1539,413,759,1958,707,1240,1025,807,220,185,,599,657,,,1605,3170,,966,1174,
"01/05/2010",606,350,,1536,366,624,1797,735,1232,854,806,213,182,,497,586,,,1548,3170,,901,1078,
"01/06/2010",604,346,,1536,369,624,1873,751,1232,868,841,213,183,,507,606,,,1623,3174,,908,1152,
"01/07/2010",653,356,,1538,388,688,1965,756,1232,991,864,216,183,,538,618,,,1634,3170,,910,1173,
"01/08/2010",679,351,,1541,385,682,1980,761,1230,994,859,217,193,,545,626,,,1631,3174,,923,1173,
"01/09/2010",622,300,,1368,238,534,1553,554,1011,586,594,181,186,,484,536,,,1284,2386,,781,894,
"01/10/2010",667,335,,1510,368,610,1842,701,1183,852,801,202,184,,538,593,,,1567,2676,,900,1064,
"01/11/2010",662,351,,1539,391,671,1959,751,1232,985,858,214,181,,534,597,,,1634,3124,,914,1107,
"01/12/2010",582,339,,1532,364,606,1796,742,1232,847,808,213,181,,490,578,,,1546,3124,,892,1076,
"01/13/2010",595,343,,1533,372,613,1869,752,1232,872,839,213,181,,503,598,,,1623,3124,,905,1154,
"01/14/2010",656,356,,1538,387,677,1965,753,1232,999,865,218,181,,536,608,,,1636,3124,,910,1173,
"01/15/2010",677,351,,1541,387,669,1975,757,1230,996,859,219,193,,543,620,,,1637,3124,,923,1173,
"01/16/2010",631,300,,1365,241,527,1543,545,1011,593,582,181,186,,480,530,,,1284,2019,,780,895,
"01/17/2010",665,335,,1510,274,604,1745,608,1183,864,688,202,184,,536,591,,,1501,2676,,900,1064,
"01/18/2010",661,351,,1539,375,662,1927,736,1232,994,839,214,179,,532,591,,,1635,3124,,913,1107,
"01/19/2010",584,341,,1532,368,603,1798,743,1232,850,801,213,179,,486,578,,,1552,3124,,892,1074,
"01/20/2010",593,343,,1533,374,610,1871,753,1232,874,827,213,179,,495,591,,,1626,3124,,905,1154,
"01/21/2010",658,356,,1538,390,673,1965,756,1232,1003,855,216,179,,528,602,,,1638,3124,,909,1173,
"01/22/2010",676,351,,1541,387,667,1976,761,1230,1002,860,217,191,,536,616,,,1634,3124,,923,1173,
"01/23/2010",630,300,,1365,240,523,1558,554,1011,595,590,181,184,,474,528,,,1287,2019,,781,894,
"01/24/2010",664,335,,1512,371,598,1848,702,1183,865,792,202,182,,530,589,,,1573,2676,,898,1065,
"01/25/2010",659,351,,1539,395,662,1952,756,1232,995,857,214,179,,525,579,,,1641,3124,,910,1107,
"01/26/2010",582,339,,1532,367,603,1799,744,1232,851,801,213,179,,482,570,,,1554,3124,,888,1074,
"01/27/2010",593,342,,1533,375,611,1870,753,1232,878,833,211,179,,495,588,,,1630,3124,,901,1154,
"01/28/2010",656,355,,1538,397,677,1960,757,1232,1007,858,214,179,,528,602,,,1643,3124,,906,1173,
"01/29/2010",678,351,,1541,388,670,1982,759,1230,1004,853,217,191,,532,617,,,1640,3124,,919,1173,
"01/30/2010",627,299,,1365,242,524,1544,554,1011,598,588,183,186,,452,524,,,1290,2019,,777,894,
"01/31/2010",662,335,,1510,371,603,1844,703,1183,875,790,214,182,,522,586,,,1577,2676,,896,1064,
"02/01/2010",659,351,,1539,395,677,1956,758,1232,1030,850,226,179,,523,543,,,1646,3124,,900,1107,
"02/02/2010",582,339,,1532,370,610,1800,745,1232,887,797,219,179,,475,528,,,1560,3124,,888,1074,
"02/03/2010",595,343,,1533,374,620,1871,753,1232,910,828,219,179,,476,552,,,1634,3124,,901,1154,
"02/04/2010",657,356,,1538,390,692,1963,758,1232,1041,853,226,179,,519,564,,,1646,3124,,908,1173,
"02/05/2010",676,348,,1546,392,675,1974,763,1230,1040,852,229,191,,536,581,,,1645,3140,,919,1173,
"02/06/2010",625,299,,1365,258,532,1555,554,1011,626,582,195,184,,474,491,,,1291,2019,,777,894,
"02/07/2010",657,335,,1510,379,608,1835,702,1183,905,790,214,182,,530,554,,,1573,2676,,898,1065,
"02/08/2010",661,351,,1546,396,680,1953,757,1232,1043,850,226,179,,524,553,,,1648,3140,,911,1113,
"02/09/2010",575,341,,1532,366,608,1800,745,1232,889,798,221,179,,480,537,,,1560,3124,,888,1075,
"02/10/2010",584,343,,1531,381,622,1865,743,1232,911,829,223,179,,493,558,,,1627,3119,,902,1158,
"02/11/2010",685,356,,1549,410,716,1986,752,1232,1081,879,230,179,,570,572,,,1689,3156,,956,1157,
"02/12/2010",697,353,,1557,417,719,2009,769,1230,1083,896,231,191,,587,582,,,1690,3156,,981,1156,
"02/13/2010",643,307,,1314,309,576,1645,617,999,734,702,196,184,,544,524,,,1476,2252,,894,938,
"02/14/2010",673,337,,1418,358,662,1820,660,1127,973,763,212,182,,584,572,,,1611,2725,,947,1064,
"02/15/2010",697,353,,1520,409,711,1970,765,1208,1084,892,230,179,,578,562,,,1688,3156,,979,1099,
"02/16/2010",677,347,,1545,406,693,1943,756,1232,1069,862,227,179,,566,552,,,1660,3156,,960,1083,
"02/17/2010",679,349,,1548,411,707,1957,763,1232,1076,888,221,179,,565,566,,,1680,3156,,974,1146,
"02/18/2010",691,358,,1552,418,719,1999,766,1232,1086,898,226,179,,578,576,,,1688,3156,,978,1156,
"02/19/2010",695,353,,1557,419,713,2008,762,1230,1095,896,231,191,,587,583,,,1690,3156,,984,1154,
