Entity,Code,Day,total_boosters
Afghanistan,AFG,2023-02-19,213042
Afghanistan,AFG,2023-02-23,295208
Afghanistan,AFG,2023-02-26,536752
Afghanistan,AFG,2023-02-28,639602
Afghanistan,AFG,2023-03-05,896852
Afghanistan,AFG,2023-03-12,973787
Afghanistan,AFG,2023-03-14,973859
Afghanistan,AFG,2023-03-19,1012011
Afghanistan,AFG,2023-03-21,1012162
Afghanistan,AFG,2023-03-26,1016029
Afghanistan,AFG,2023-03-28,1016263
Afghanistan,AFG,2023-04-02,1030937
Afghanistan,AFG,2023-04-09,1036742
Afghanistan,AFG,2023-04-11,1048470
Afghanistan,AFG,2023-04-16,1055031
Afghanistan,AFG,2023-04-18,1072990
Afghanistan,AFG,2023-04-24,1077102
Afghanistan,AFG,2023-04-25,1077577
Afghanistan,AFG,2023-04-30,1088148
Afghanistan,AFG,2023-05-03,1092420
Afghanistan,AFG,2023-05-09,1101614
Afghanistan,AFG,2023-05-14,1120946
Afghanistan,AFG,2023-05-16,1128932
Afghanistan,AFG,2023-05-21,1223277
Afghanistan,AFG,2023-05-29,1511837
Afghanistan,AFG,2023-06-06,1893518
Afghanistan,AFG,2023-06-11,1973605
Afghanistan,AFG,2023-06-13,1977445
Afghanistan,AFG,2023-06-18,2031571
Afghanistan,AFG,2023-06-20,2046951
Afghanistan,AFG,2023-06-27,2062362
Afghanistan,AFG,2023-07-04,2073609
Afghanistan,AFG,2023-07-09,2074900
Afghanistan,AFG,2023-07-11,2087899
Afghanistan,AFG,2023-07-18,2092253
Afghanistan,AFG,2023-07-23,2098383
Afghanistan,AFG,2023-07-25,2118840
Afghanistan,AFG,2023-07-30,2138723
Afghanistan,AFG,2023-08-01,2151349
Afghanistan,AFG,2023-08-06,2161550
Afghanistan,AFG,2023-08-08,2165696
Afghanistan,AFG,2023-08-15,2181134
Afghanistan,AFG,2023-08-20,2204368
Afghanistan,AFG,2023-08-27,2230555
Afghanistan,AFG,2023-09-01,2265415
Afghanistan,AFG,2023-09-05,2268542
Afghanistan,AFG,2023-09-10,2289844
Afghanistan,AFG,2023-09-17,2314208
Afghanistan,AFG,2023-09-19,2340754
Afghanistan,AFG,2023-09-26,2380699
Afghanistan,AFG,2023-10-08,2391278
Afghanistan,AFG,2023-10-16,2427422
Afghanistan,AFG,2023-10-24,2476218
Afghanistan,AFG,2023-11-05,2481042
Afghanistan,AFG,2023-11-07,2506382
Afghanistan,AFG,2023-11-14,2595111
Afghanistan,AFG,2023-11-26,2626670
Africa,,2021-10-28,28870
Africa,,2021-10-29,32750
Africa,,2021-10-30,71510
Africa,,2021-10-31,71510
Africa,,2021-11-01,124228
Africa,,2021-11-02,142786
Africa,,2021-11-03,153756
Africa,,2021-11-04,163744
Africa,,2021-11-05,173532
Africa,,2021-11-06,179218
Africa,,2021-11-07,189449
Africa,,2021-11-08,202552
Africa,,2021-11-09,213310
Africa,,2021-11-10,223337
Africa,,2021-11-11,233093
Africa,,2021-11-12,243348
Africa,,2021-11-13,256524
Africa,,2021-11-14,263155
Africa,,2021-11-15,272326
Africa,,2021-11-16,280269
Africa,,2021-11-17,290842
Africa,,2021-11-18,295394
Africa,,2021-11-19,301875
Africa,,2021-11-20,305078
Africa,,2021-11-21,318245
Africa,,2021-11-22,337494
Africa,,2021-11-23,350256
Africa,,2021-11-24,356468
Africa,,2021-11-25,375609
Africa,,2021-11-26,389958
Africa,,2021-11-27,405021
Africa,,2021-11-28,413523
Africa,,2021-11-29,436553
Africa,,2021-11-30,450385
Africa,,2021-12-01,457450
Africa,,2021-12-02,463718
Africa,,2021-12-03,470619
Africa,,2021-12-04,479959
Africa,,2021-12-05,494730
Africa,,2021-12-06,512730
Africa,,2021-12-07,535575
Africa,,2021-12-08,558641
Africa,,2021-12-09,574335
Africa,,2021-12-10,593495
Africa,,2021-12-11,608185
Africa,,2021-12-12,617549
Africa,,2021-12-13,633454
Africa,,2021-12-14,644723
Africa,,2021-12-15,663869
Africa,,2021-12-16,674557
Africa,,2021-12-17,689618
Africa,,2021-12-18,712728
Africa,,2021-12-19,726927
Africa,,2021-12-20,747911
Africa,,2021-12-21,747911
Africa,,2021-12-22,747911
Africa,,2021-12-23,777325
Africa,,2021-12-24,793885
Africa,,2021-12-25,793885
Africa,,2021-12-26,830873
Africa,,2021-12-27,843010
Africa,,2021-12-28,851963
Africa,,2021-12-29,865281
Africa,,2021-12-30,882068
Africa,,2021-12-31,892142
Africa,,2022-01-01,909609
Africa,,2022-01-02,922175
Africa,,2022-01-03,927446
Africa,,2022-01-04,955626
Africa,,2022-01-05,970084
Africa,,2022-01-06,988894
Africa,,2022-01-07,1006611
Africa,,2022-01-08,1013527
Africa,,2022-01-09,1022010
Africa,,2022-01-10,1035762
Africa,,2022-01-11,1048856
Africa,,2022-01-12,1064476
Africa,,2022-01-13,1071331
Africa,,2022-01-14,1077747
Africa,,2022-01-15,1083679
Africa,,2022-01-16,1094480
Africa,,2022-01-17,1507828
Africa,,2022-01-18,1556366
Africa,,2022-01-19,1585059
Africa,,2022-01-20,1614184
Africa,,2022-01-21,2419814
Africa,,2022-01-22,2434330
Africa,,2022-01-23,2440745
Africa,,2022-01-24,2529195
Africa,,2022-01-25,2537939
Africa,,2022-01-26,2584897
Africa,,2022-01-27,2610394
Africa,,2022-01-28,2639957
Africa,,2022-01-29,2649482
Africa,,2022-01-30,2663067
Africa,,2022-01-31,2690828
Africa,,2022-02-01,2707013
Africa,,2022-02-02,2753931
Africa,,2022-02-03,2782058
Africa,,2022-02-04,2794564
Africa,,2022-02-05,2805045
Africa,,2022-02-06,2834736
Africa,,2022-02-07,2845530
Africa,,2022-02-08,2855397
Africa,,2022-02-09,2925218
