Entity,Code,Day,people_vaccinated,738595-annotations
Afghanistan,AFG,2021-02-22,0,
Afghanistan,AFG,2021-02-28,8200,
Afghanistan,AFG,2021-03-16,54000,
Afghanistan,AFG,2021-04-07,120000,
Afghanistan,AFG,2021-04-22,240000,
Afghanistan,AFG,2021-05-11,448878,
Afghanistan,AFG,2021-05-20,470341,
Afghanistan,AFG,2021-05-24,476367,
Afghanistan,AFG,2021-05-26,479372,
Afghanistan,AFG,2021-05-27,479574,
Afghanistan,AFG,2021-05-30,480226,
Afghanistan,AFG,2021-06-02,481690,
Afghanistan,AFG,2021-06-03,481800,
Afghanistan,AFG,2021-06-08,482952,
Afghanistan,AFG,2021-06-14,484737,
Afghanistan,AFG,2021-06-22,582128,
Afghanistan,AFG,2021-06-27,649434,
Afghanistan,AFG,2021-06-30,699200,
Afghanistan,AFG,2021-07-05,726349,
Afghanistan,AFG,2021-07-07,735213,
Afghanistan,AFG,2021-07-11,742934,
Afghanistan,AFG,2021-08-20,770542,
Afghanistan,AFG,2021-08-31,773002,
Afghanistan,AFG,2021-09-30,828601,
Afghanistan,AFG,2021-11-14,3530173,
Afghanistan,AFG,2021-12-27,4142857,
Afghanistan,AFG,2022-01-09,4358570,
Afghanistan,AFG,2022-01-11,4378818,
Afghanistan,AFG,2022-01-13,4405897,
Afghanistan,AFG,2022-01-17,4432926,
Afghanistan,AFG,2022-01-19,4450211,
Afghanistan,AFG,2022-01-24,4486527,
Afghanistan,AFG,2022-01-26,4511372,
Afghanistan,AFG,2022-01-27,4517380,
Afghanistan,AFG,2022-01-31,4554648,
Afghanistan,AFG,2022-02-02,4577740,
Afghanistan,AFG,2022-02-07,4634282,
Afghanistan,AFG,2022-02-14,4723416,
Afghanistan,AFG,2022-02-20,4801524,
Afghanistan,AFG,2022-02-27,4907058,
Afghanistan,AFG,2022-03-06,4952744,
Afghanistan,AFG,2022-03-17,5066540,
Afghanistan,AFG,2022-03-22,5082824,
Afghanistan,AFG,2022-04-04,5188057,
Afghanistan,AFG,2022-04-14,5246981,
Afghanistan,AFG,2022-04-18,5253929,
Afghanistan,AFG,2022-04-26,5286657,
Afghanistan,AFG,2022-04-27,5287027,
Afghanistan,AFG,2022-05-05,5318484,
Afghanistan,AFG,2022-05-08,5320381,
Afghanistan,AFG,2022-05-10,5326298,
Afghanistan,AFG,2022-05-15,5359930,
Afghanistan,AFG,2022-05-23,5407462,
Afghanistan,AFG,2022-06-01,5456919,
Afghanistan,AFG,2022-06-15,5573175,
Afghanistan,AFG,2022-06-21,5629522,
Afghanistan,AFG,2022-06-30,5713284,
Afghanistan,AFG,2022-07-10,5755294,
Afghanistan,AFG,2022-07-17,5969406,
Afghanistan,AFG,2022-07-19,7139453,
Afghanistan,AFG,2022-07-27,7294709,
Afghanistan,AFG,2022-08-07,9066437,
