Entity,Code,Day,total_distributed
Alabama,,2021-01-12,377025
Alabama,,2021-01-13,378975
Alabama,,2021-01-14,435350
Alabama,,2021-01-15,444650
Alabama,,2021-01-19,444650
Alabama,,2021-01-20,483275
Alabama,,2021-01-21,493125
Alabama,,2021-01-22,519525
Alabama,,2021-01-23,521225
Alabama,,2021-01-24,521225
Alabama,,2021-01-25,521225
Alabama,,2021-01-26,569000
Alabama,,2021-01-27,634000
Alabama,,2021-01-28,655275
Alabama,,2021-01-29,659400
Alabama,,2021-01-30,659400
Alabama,,2021-01-31,659400
Alabama,,2021-02-01,659400
Alabama,,2021-02-02,680550
Alabama,,2021-02-03,765150
Alabama,,2021-02-04,799675
Alabama,,2021-02-05,799875
Alabama,,2021-02-06,804100
Alabama,,2021-02-07,804100
Alabama,,2021-02-08,804100
Alabama,,2021-02-09,823600
Alabama,,2021-02-10,861175
Alabama,,2021-02-11,911875
Alabama,,2021-02-12,936200
Alabama,,2021-02-13,963600
Alabama,,2021-02-14,965550
Alabama,,2021-02-16,1015775
Alabama,,2021-02-17,1032175
Alabama,,2021-02-18,1032175
Alabama,,2021-02-19,1077600
Alabama,,2021-02-20,1078800
Alabama,,2021-02-21,1082100
Alabama,,2021-02-22,1082100
Alabama,,2021-02-23,1084440
Alabama,,2021-02-24,1138650
Alabama,,2021-02-25,1170120
Alabama,,2021-02-26,1380380
Alabama,,2021-02-27,1402180
Alabama,,2021-02-28,1402280
Alabama,,2021-03-01,1402280
Alabama,,2021-03-02,1461320
Alabama,,2021-03-03,1469100
Alabama,,2021-03-04,1530470
Alabama,,2021-03-05,1556460
Alabama,,2021-03-06,1628350
Alabama,,2021-03-07,1628350
Alabama,,2021-03-08,1628350
Alabama,,2021-03-09,1689050
Alabama,,2021-03-10,1775660
Alabama,,2021-03-11,1816230
Alabama,,2021-03-12,1838400
Alabama,,2021-03-13,1918560
Alabama,,2021-03-14,1918560
Alabama,,2021-03-15,1918560
Alabama,,2021-03-16,2004160
Alabama,,2021-03-17,2080870
Alabama,,2021-03-18,2118650
Alabama,,2021-03-19,2141210
Alabama,,2021-03-20,2177880
Alabama,,2021-03-21,2177880
Alabama,,2021-03-22,2177880
Alabama,,2021-03-23,2275030
Alabama,,2021-03-24,2403720
Alabama,,2021-03-25,2459980
Alabama,,2021-03-26,2497410
Alabama,,2021-03-27,2535880
Alabama,,2021-03-28,2537050
Alabama,,2021-03-29,2537050
Alabama,,2021-03-30,2722700
Alabama,,2021-03-31,2796630
Alabama,,2021-04-01,2839540
Alabama,,2021-04-02,2872410
Alabama,,2021-04-03,2891780
Alabama,,2021-04-04,2892950
Alabama,,2021-04-05,2892950
Alabama,,2021-04-06,3106870
Alabama,,2021-04-07,3149910
Alabama,,2021-04-08,3170520
Alabama,,2021-04-09,3248260
Alabama,,2021-04-10,3278980
Alabama,,2021-04-11,3278980
Alabama,,2021-04-12,3278980
Alabama,,2021-04-13,3358930
Alabama,,2021-04-14,3493380
Alabama,,2021-04-15,3516420
Alabama,,2021-04-16,3531670
Alabama,,2021-04-17,3664640
Alabama,,2021-04-18,3664740
Alabama,,2021-04-19,3664740
Alabama,,2021-04-20,3761730
Alabama,,2021-04-21,3796070
Alabama,,2021-04-22,3825010
Alabama,,2021-04-23,3898820
Alabama,,2021-04-24,3960530
Alabama,,2021-04-25,3960530
Alabama,,2021-04-26,3960530
Alabama,,2021-04-27,4009430
Alabama,,2021-04-28,4033570
Alabama,,2021-04-29,4042070
Alabama,,2021-04-30,4088030
Alabama,,2021-05-01,4130550
Alabama,,2021-05-02,4130550
Alabama,,2021-05-03,4130550
Alabama,,2021-05-04,4145390
Alabama,,2021-05-05,4187860
Alabama,,2021-05-06,4225140
Alabama,,2021-05-07,4241420
Alabama,,2021-05-08,4277330
Alabama,,2021-05-09,4277330
Alabama,,2021-05-10,4277330
Alabama,,2021-05-11,4295160
Alabama,,2021-05-12,4311320
Alabama,,2021-05-13,4322400
Alabama,,2021-05-14,4348790
Alabama,,2021-05-15,4373130
Alabama,,2021-05-16,4373130
Alabama,,2021-05-17,4373130
Alabama,,2021-05-18,4389040
Alabama,,2021-05-19,4393980
Alabama,,2021-05-20,4415280
Alabama,,2021-05-21,4449370
Alabama,,2021-05-22,4476640
Alabama,,2021-05-23,4476640
Alabama,,2021-05-24,4476640
Alabama,,2021-05-25,4484660
Alabama,,2021-05-26,4501400
Alabama,,2021-05-27,4520480
Alabama,,2021-05-28,4523700
Alabama,,2021-05-29,4578590
Alabama,,2021-05-30,4578590
Alabama,,2021-06-01,4578590
Alabama,,2021-06-02,4583270
Alabama,,2021-06-03,4597950
Alabama,,2021-06-04,4606930
Alabama,,2021-06-05,4637330
Alabama,,2021-06-06,4637330
Alabama,,2021-06-07,4637330
Alabama,,2021-06-08,4646130
Alabama,,2021-06-09,4646550
Alabama,,2021-06-10,4648150
Alabama,,2021-06-11,4658570
Alabama,,2021-06-12,4678220
Alabama,,2021-06-13,4678220
Alabama,,2021-06-14,4678220
Alabama,,2021-06-15,4686280
Alabama,,2021-06-16,4692070
Alabama,,2021-06-17,4726010
Alabama,,2021-06-18,4734100
Alabama,,2021-06-19,4758560
Alabama,,2021-06-20,4758560
Alabama,,2021-06-21,4758560
Alabama,,2021-06-22,4759120
Alabama,,2021-06-23,4767580
Alabama,,2021-06-24,4769800
Alabama,,2021-06-25,4783230
Alabama,,2021-06-26,4801760
Alabama,,2021-06-27,4801760
Alabama,,2021-06-28,4801760
Alabama,,2021-06-29,4810050
Alabama,,2021-06-30,4813050
Alabama,,2021-07-01,4825450
Alabama,,2021-07-02,4836250
Alabama,,2021-07-03,4845190
Alabama,,2021-07-04,4845190
Alabama,,2021-07-06,4845190
Alabama,,2021-07-07,4845190
Alabama,,2021-07-08,4866130
Alabama,,2021-07-09,4872940
Alabama,,2021-07-10,4884130
Alabama,,2021-07-11,4884130
Alabama,,2021-07-12,4884130
Alabama,,2021-07-13,4885650
Alabama,,2021-07-14,4893240
Alabama,,2021-07-15,4895780
Alabama,,2021-07-16,4904730
Alabama,,2021-07-17,4912720
Alabama,,2021-07-18,4912720
Alabama,,2021-07-19,4919470
Alabama,,2021-07-20,4928670
Alabama,,2021-07-21,4935470
Alabama,,2021-07-22,4945380
Alabama,,2021-07-23,4979270
Alabama,,2021-07-24,5001210
Alabama,,2021-07-25,5001210
Alabama,,2021-07-26,5001210
Alabama,,2021-07-27,5015500
Alabama,,2021-07-28,5031270
Alabama,,2021-07-29,5050560
Alabama,,2021-07-30,5092510
Alabama,,2021-07-31,5159890
Alabama,,2021-08-01,5159890
Alabama,,2021-08-02,5159890
Alabama,,2021-08-03,5167970
Alabama,,2021-08-04,5201860
Alabama,,2021-08-05,5220840
Alabama,,2021-08-06,5262690
Alabama,,2021-08-07,5330000
Alabama,,2021-08-08,5330000
Alabama,,2021-08-09,5330000
Alabama,,2021-08-10,5358370
Alabama,,2021-08-11,5389260
Alabama,,2021-08-12,5418340
Alabama,,2021-08-13,5539910
Alabama,,2021-08-14,5554810
Alabama,,2021-08-15,5554810
Alabama,,2021-08-16,5554810
Alabama,,2021-08-17,5581220
Alabama,,2021-08-18,5631430
Alabama,,2021-08-19,5688310
Alabama,,2021-08-20,5789070
Alabama,,2021-08-21,5863360
Alabama,,2021-08-22,5863220
Alabama,,2021-08-23,5863220
Alabama,,2021-08-24,5863220
Alabama,,2021-08-25,5889060
Alabama,,2021-08-26,5962240
Alabama,,2021-08-27,6045390
Alabama,,2021-08-28,6085890
Alabama,,2021-08-29,6102830
Alabama,,2021-08-30,6102130
Alabama,,2021-08-31,6127400
Alabama,,2021-09-01,6151970
Alabama,,2021-09-02,6218000
Alabama,,2021-09-03,6259550
Alabama,,2021-09-04,6294440
Alabama,,2021-09-07,6294340
Alabama,,2021-09-08,6299020
Alabama,,2021-09-09,6337120
Alabama,,2021-09-10,6388850
Alabama,,2021-09-11,6427570
Alabama,,2021-09-12,6427570
Alabama,,2021-09-14,6447940
Alabama,,2021-09-15,6485880
Alabama,,2021-09-16,6503890
